"시점","범죄발생시간별(1)",계,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
"시점","범죄발생시간별(1)",소계,소계,살인기수,살인미수등,강도,강간·강제추행,강간,유사강간,강제추행,기타 강간·강제추행등,방화,소계,소계,상해,폭행,체포·감금,협박,약취·유인,폭력행위등,공갈,손괴,소계,직무유기,직권남용,증수뢰,통화,문서·인장,유가증권인지,사기,횡령,배임,소계,성풍속범죄,도박범죄,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"2013","03:00~05:59",109583,3430,25,48,399,-,793,15,1626,291,233,24309,30327,5382,14321,73,195,3,5395,108,4850,5339,4,5,0,21,97,8,4301,900,3,578,431,147,2068,106,378,24,31388,14,1,9,2,11610
"2013","06:00~08:59",95392,2058,25,34,109,-,401,7,1265,104,113,19715,16033,3055,6977,49,165,20,2172,150,3445,3392,2,10,1,45,77,4,2423,817,13,797,720,77,1832,66,154,96,42961,21,3,23,36,8205
"2013","09:00~11:59",211569,1625,37,65,143,-,305,8,857,86,124,31528,19732,4000,7846,105,543,30,2358,338,4512,55880,161,60,40,819,2848,93,45224,5289,1346,1866,1472,394,9144,325,4084,1623,49310,560,15,72,4473,31332
"2013","12:00~14:59",162572,1651,37,50,101,-,291,13,911,95,153,33167,19817,3980,8357,100,486,27,2484,378,4005,29908,51,25,17,335,1088,38,25096,2939,319,1946,1358,588,5895,320,2090,490,50490,59,14,51,822,15852
"2013","15:00~17:59",173869,2150,46,67,158,-,324,9,1281,97,168,36569,26033,5106,10509,97,495,18,3442,641,5725,21391,22,19,15,301,662,19,17617,2630,106,3249,1959,1290,5155,460,1752,369,62000,41,12,53,167,14468
"2013","18:00~20:59",201643,2700,49,76,159,-,398,5,1672,108,233,44081,39720,6737,16485,111,487,27,4976,673,10224,14495,12,17,7,157,340,13,11586,2329,34,3326,1653,1673,4881,511,1208,66,76543,86,15,33,113,13865
"2013","21:00~23:59",329374,4407,60,108,270,-,723,10,2730,163,343,37964,66407,11925,31658,118,599,12,9018,478,12599,13122,6,26,11,69,355,10,10387,2246,12,3326,1724,1602,6075,466,1967,70,173041,166,4,16,26,22317
"2013","미상",445300,5901,29,88,364,-,1846,46,2868,528,132,37336,38292,8843,14167,204,1447,48,5707,1380,6496,177936,294,154,161,2099,9741,265,145978,16474,2770,11504,9567,1937,33424,2196,8114,1378,46263,745,70,136,20518,61487
"2014","계",1778966,25277,372,541,1586,-,5078,375,14611,991,1723,266222,290079,50281,132920,945,5187,198,37689,4862,57997,298652,577,364,251,2770,14441,360,238409,37024,4456,24976,16683,8293,72908,4825,14657,2536,573493,1308,84,1874,21549,180526
"2014","00:00~02:59",124068,2743,32,50,249,-,586,48,1448,106,224,21567,36177,6015,18554,43,268,6,5408,229,5654,7172,4,10,2,25,162,3,5636,1315,15,809,572,237,2768,121,480,17,41939,17,1,14,10,10233
"2014","03:00~05:59",101193,3039,38,48,297,-,664,48,1542,192,210,21195,28642,4613,14265,72,212,5,4669,150,4656,5098,1,8,-,28,114,-,3974,970,3,546,386,160,2231,97,268,26,32441,5,2,15,1,7587
"2014","06:00~08:59",93165,1926,27,38,86,-,337,27,1243,67,101,17918,15977,2824,7116,70,229,18,1996,94,3630,3589,5,10,4,83,63,2,2447,969,6,938,837,101,2024,44,146,83,44610,13,1,82,42,5772
"2014","09:00~11:59",198855,1526,42,51,92,-,279,20,852,60,130,29081,20533,3892,8492,121,612,23,2307,422,4664,51223,143,85,27,554,2917,71,40455,5864,1107,2178,1584,594,10083,312,1417,404,53045,498,15,375,3941,24224
"2014","12:00~14:59",159772,1681,44,47,120,-,279,24,962,57,148,30903,20057,3656,8821,92,511,28,2353,328,4268,27536,61,33,14,273,1072,28,22625,3128,302,2015,1445,570,6652,357,1090,277,54231,94,5,191,777,13906
"2014","15:00~17:59",173441,2174,41,60,115,-,278,29,1352,77,222,34679,26049,4615,11249,98,584,30,3057,526,5890,19458,26,19,11,246,546,17,15829,2676,88,2946,1900,1046,6028,484,1333,209,65612,61,6,132,88,14182
"2014","18:00~20:59",201323,2671,58,77,142,-,336,33,1743,70,212,40322,40093,6272,17394,105,649,27,4733,664,10249,13961,9,15,17,146,299,9,10733,2687,46,3355,1883,1472,5702,548,1020,63,79167,55,2,151,78,14135
"2014","21:00~23:59",310524,4045,56,99,204,-,646,37,2588,96,319,35015,64504,10555,32167,124,700,12,8064,618,12264,12977,5,17,5,81,325,4,9729,2793,18,3149,1704,1445,7676,453,1735,57,157320,111,10,69,39,23364
"2014","미상",416625,5472,34,71,281,-,1673,109,2881,266,157,35542,38047,7839,14862,220,1422,49,5102,1831,6722,157638,323,167,171,1334,8943,226,126981,16622,2871,9040,6372,2668,29744,2409,7168,1400,45128,454,42,845,16573,67123
"2015","계",1861657,25334,365,564,1446,-,5151,518,15059,558,1673,245853,305947,48005,149278,1028,9187,190,35686,3596,58977,316121,507,401,247,1822,14546,282,247293,46734,4289,24491,16219,8272,86329,6411,14602,2955,596665,1145,121,760,18726,216197
"2015","00:00~02:59",124560,2686,21,52,232,-,601,71,1460,63,186,19591,37411,5536,20562,65,540,6,4878,143,5681,7629,5,11,-,18,201,-,5435,1943,16,789,525,264,2830,178,530,29,42233,22,4,1,25,10602
"2015","03:00~05:59",104919,2964,37,48,262,-,734,72,1575,72,164,19544,30241,4464,16200,68,400,5,4422,85,4597,5729,3,16,-,21,143,3,3870,1671,2,564,383,181,2176,135,299,32,35125,10,5,1,-,8094
"2015","06:00~08:59",102344,1861,30,43,79,-,320,39,1213,23,114,16573,17459,2792,8169,45,467,10,2023,93,3860,4386,4,2,1,58,118,-,2687,1514,2,1199,1094,105,1841,92,134,80,49475,3,7,24,32,9178
"2015","09:00~11:59",210771,1640,47,54,105,-,340,19,890,36,149,26273,22567,3757,9794,136,1045,22,2292,313,5208,53372,110,98,27,334,2866,58,42233,6648,998,1660,1182,478,10190,476,1905,747,59046,222,14,148,3017,29494
"2015","12:00~14:59",173791,1689,37,46,97,-,273,36,1011,32,157,29383,21655,3619,9944,97,879,23,2242,291,4560,29583,50,28,13,187,1073,33,23620,4206,373,1951,1406,545,7687,578,1163,282,60036,43,16,56,720,18949
"2015","15:00~17:59",189338,2109,40,72,91,-,267,30,1374,45,190,32602,27823,4594,12511,126,998,35,3055,387,6117,21509,25,29,6,179,566,18,16566,4043,77,3168,2086,1082,7436,572,1518,305,73760,21,8,38,119,18350
"2015","18:00~20:59",209512,2767,51,85,145,-,331,45,1804,53,253,35746,41994,5967,19528,142,1289,21,4434,510,10103,16461,7,18,16,86,402,10,11737,4149,36,3453,1992,1461,7112,611,990,79,83198,25,9,32,59,16976
"2015","21:00~23:59",309885,3943,57,99,184,-,596,55,2596,54,302,30550,67238,9874,35870,150,1395,21,7543,417,11968,15228,10,24,5,50,385,1,10452,4288,13,3475,1919,1556,10380,548,1693,64,152143,89,3,12,30,24489
